listing_id,suburb,postcode,address,sale_price,sale_date,sale_method,property_type,bedrooms,bathrooms,car_spaces,latitude,longitude,distance_to_cbd_km,source_url,agent_description
2021088782,Mosman,2088,8/88 Avenue Road,730000.0,2026-09-12,privateTreaty,Apartment / Unit / Flat,1,1,1.0,-33.830967,151.24036,5.09,https://www.domain.com.au/8-88-avenue-road-mosman-nsw-2088-2021088782,"Embodying a light and airy ambiance, this charming first floor apartment instantly entices with elegant welcoming living and dining zones capturing tranquil leafy outlooks. Ready for instant enjoyment, with potential to personalise or add value, the carefully maintained home reveals a generous bedroom connecting to the sun-bathed balcony offering elevated views towards the city and Harbour Bridge. Embraced in a boutique full brick block of only twelve homes, there are buses to ferries on the doorstep, while it's a short walk to Avenue Road shops, cafes, the heart of Mosman village and many cosmopolitan eateries.   - Enticing living room adjoins dining zone delivering relaxing tree top vistas - Sheltered balcony with Harbour Bridge cameo and view to city lights - Neat electric kitchen and dining with abundant windows providing airflow  - Spacious bedroom provides sizeable built-in robes with access to balcony  - Well-presented timeless bathroom, ceiling fans in both bedroom and living area - Quality secure block with automatic garage, storage unit and tidy shared laundry - Exceptional opportunity for first home buyers and investors in a prime location - Perfect for easy care harbourside lifestyle, a walk to everything you need - Moments to Mosman Bay ferry, Reid Park and picturesque foreshore trails - Quick access to Balmoral Beach lifestyle attractions and fine dining options - Stroll to city bound buses, boutique shopping and all essential amenities  Strata $900 pq approx.  Water $217pq approx.  Council $405pq approx."
2021103679,Mosman,2088,7/10 Muston Street,750000.0,2026-09-08,privateTreaty,Apartment / Unit / Flat,1,1,,-33.831886,151.24542,5.29,https://www.domain.com.au/7-10-muston-street-mosman-nsw-2088-2021103679,"Basking in a prime north aspect, this beautifully renovated one-bedroom apartment in Mosman offers effortless modern living in a secure, low-maintenance boutique block of twelve. The bright living and dining zone flows to a sun-washed, north-facing balcony, alongside a renovated kitchen and generously sized bedroom with built-in robe and ensuite. It's a short stroll to Mosman village's cafés and boutiques, with Balmoral Beach also close by and Bridgepoint Shopping Centre just minutes away by car.  - Ideally located within a beautifully appointed boutique complex of twelve - Sought-after northerly position ensures all-day natural light throughout - Bright combined living and dining zone opens seamlessly to the outdoors - Generously sized bedroom with built-in robe and freshly renovated ensuite - Renovated kitchen features a stainless-steel gas stove - Sun-washed, north-facing balcony ideal for easy alfresco dining - Handy access to bus services, parklands and sports ovals nearby - Just a few minutes' drive to Bridgepoint Shopping Centre"
2020939863,Mosman,2088,3/17 Milner Street,790000.0,2026-08-21,privateTreaty,Apartment / Unit / Flat,1,1,,-33.832962,151.24168,4.98,https://www.domain.com.au/3-17-milner-street-mosman-nsw-2088-2020939863,"Enjoying a highly sought-after location just moments from the heart of Mosman village, this updated apartment delivers an outstanding lifestyle of convenience and low-maintenance living.   Freshly painted throughout and filled with natural light, the home enjoys a peaceful leafy outlook and open plan living and dining, all within easy reach of Mosman's vibrant cafes, eateries, boutique shops and everyday amenities. The generous bedroom features a built-in robe and is complemented by a well-presented ensuite bathroom with a combined bath and shower. The kitchen offers excellent storage and blends classic character with modern functionality, featuring timber benchtops, a statement farmhouse sink and a gourmet gas cooktop. Additional features include a gas bayonet for heating, stylish timber-look flooring, shared laundry facilities and secure intercom access.   Ideal for first home buyers, investors and busy professionals seeking a lock-and-leave lifestyle, the apartment is positioned just a 5-minute level stroll to Mosman village and within easy reach of direct city buses, ferry services and Balmoral Beach. Residents also enjoy access to a communal garden retreat with established greenery and outdoor seating, while all-day street parking directly out the front further enhances the appeal of this exceptional lifestyle home."
2020960999,Mosman,2088,14/669 Military Road,1600000.0,2026-08-12,privateTreaty,Apartment / Unit / Flat,2,1,1.0,-33.82667,151.24353,5.65,https://www.domain.com.au/14-669-military-road-mosman-nsw-2088-2020960999,"The essence of sophistication, this beautiful full brick apartment showcases timeless modern interiors with mesmerising harbour panoramas spanning over to Manly and beyond to the ocean's edge. Basking in its premier north east facing aspect, the considered light washed design delivers elegant living zones extending to a spacious balcony, while the communal rooftop terrace promises spectacular entertaining with a breathtaking backdrop. Set in the heart of cosmopolitan Mosman village, it's a moments' walk to many cafes, restaurants, shops, boutiques and city buses, plus a stroll down to iconic Balmoral Beach.  • Graceful living and dining rooms are bathed in easterly sunshine • Covered balcony with gorgeous views for relaxed alfresco dining • Quality gas and stone kitchen boasts Ilve and Bosch appliances • Inviting double bedrooms have carpets and built-in wardrobes • Pristine classic bathroom features a bath tub and separate shower • Rooftop terrace captures incredible views sweeping to North Head • Secure block with intercom, lift access to underground car space • Immaculately presented, set in sought after 'Bella Vista Tower' • Stroll to Bridgepoint shops and a walk to Balmoral fine dining • Steps to Allan Border Oval, moments to parks and foreshore walks  Disclaimer: All property information provided is deemed reliable but not guaranteed. Buyers are advised to verify all details independently."
2021004400,Mosman,2088,9/71 Avenue Road,700000.0,2026-08-10,privateTreaty,Apartment / Unit / Flat,1,1,1.0,-33.83262,151.23741,4.79,https://www.domain.com.au/9-71-avenue-road-mosman-nsw-2088-2021004400,"Privately set back from the street in a boutique block, this peaceful first floor apartment reveals welcoming interiors with a light infused ambience and wide picture windows enhancing elevated outlooks sweeping to the North Sydney skyline. Ready for instant enjoyment, the peaceful haven promises an easy care lifestyle of comfort and unmatched convenience in an exclusive harbourside pocket. Its premier position is a moments' walk to Avenue Road shops and cafes, while a leisurely stroll to Mosman Bay ferry and foreshore.  - Airy combined living and dining zones capture an elevated outlook - Skyline views for a sparkling night light show and relaxing atmosphere - Neat bright kitchen with electric cooktop and newly painted interiors - Tranquil spacious bedroom provides mirrored built-in wardrobes - Classic bathroom with combined bath tub/shower, shared laundry - Lock-up garage with optional mezzanine level plus its own storeroom - Well presented to move straight in, walk-to-everywhere location - Footsteps to buses, moments to Mosman village eateries and amenities - Moments to scenic reserves, idyllic foreshore trails and harbour beaches - Minutes away to iconic Balmoral Beach attractions and fine dining options"
2021035788,Mosman,2088,6/139-153 Middle Head Road,2558000.0,2026-08-13,privateTreaty,Apartment / Unit / Flat,3,2,2.0,-33.83214,151.24507,5.25,https://www.domain.com.au/6-139-153-middle-head-road-mosman-nsw-2088-2021035788,"Perfectly positioned in the heart of Mosman Village, just moments from vibrant cafés, acclaimed restaurants, boutique shopping and everyday conveniences, this newly renovated three-bedroom apartment offers the rare combination of an ultra-convenient lifestyle with exceptional peace and privacy.  Showcasing sophisticated contemporary design, the apartment features lift access from the secure double garage, while the spacious living area and all three bedrooms flow seamlessly onto a sun-drenched balcony. A prized north-east aspect bathes the home in natural light throughout the day, complemented by two generously proportioned bathrooms and a thoughtfully designed floor plan.  Finished to a luxurious standard, this low-maintenance residence in the highly sought-after Mosman Mews showcases premium finishes and effortless contemporary living. An outstanding opportunity for young families, professionals, investors and downsizers seeking a quality home in one of Mosman's most desirable locations.  Enjoy an enviable lifestyle within easy walking distance of Balmoral Beach, Taronga Zoo, Mosman Village, local parks, ferry services and city buses. The property is located within the highly sought-after catchment for Mosman Public School and Mosman High School, and is also close to prestigious private schools including Queenwood, Mosman Preparatory School and Redlands.  Approximate Areas Internal: 98 sqm Secure storage: 12 sqm Double secure basement parking: 31 sqm Total area on title: 150 sqm"
2020579143,Mosman,2088,5 Botanic Road,8700000.0,2026-07-22,privateTreaty,House,4,3,2.0,-33.82964,151.24886,5.68,https://www.domain.com.au/5-botanic-road-mosman-nsw-2088-2020579143,"Just a short and level stroll to the sand of Balmoral Beach and set in the most private and tranquil setting, this innovative easy-care residence captures contemporary family living at its finest. Architect designed and benefitted by a wide 20m frontage, generous living and dining areas open seamlessly onto a spacious and private entertaining terrace overlooking the lap pool and landscaped gardens.   Full-brick construction and with 'smart home' technology throughout, the residence offers a superbly styled home with true balance and harmony. Filled with light, peace, and bespoke joinery, every opportunity has been taken to create a unique beach house of rare quality.   There are four spacious bedrooms on the top level, including a wonderful master retreat. Three separate living areas provide wonderful separation for the entire family, and internal access from the large double LUG is ideal.   This easy-care residence is idyllically located in its cul-de-sac location and totally private from the street. It's so convenient to Mosman schools and Mosman village with restaurants, cafes and bus transport at the end of the street.  FEATURES:  - Functional interiors form a selection of vast living zones - Extensive glass creates seamless indoor/outdoor interaction - Travertine alfresco setting leads to lawns and heated lap pool - Caesarstone gas kitchen with Miele appliances, island bench - Four large bedrooms equipped with built-in wardrobes,  - Intuitively crafted master bedroom with ensuite and built-ins - Full contemporary bathroom showcases premium quality fittings - Separate and large children's rumpus room, Clipsal C-Bus, outdoor shower - Double lock-up garage, internal entry, and air conditioning - Walking distance to numerous parks, cafes and restaurants"
2020659268,Mosman,2088,10/16 Avenue Road,892000.0,2026-07-20,privateTreaty,Apartment / Unit / Flat,2,1,,-33.833256,151.23607,4.66,https://www.domain.com.au/10-16-avenue-road-mosman-nsw-2088-2020659268,"Enjoying a prized tranquil location and boasting a beautiful renovation, this luxurious apartment enjoys convenience at your doorstep.  Situated in a meticulously maintained low rise security building just moments from all that Mosman has to offer this is a rare find for first home buyers and investors alike.  Features include:   Well maintained low rise complex   Whisper quiet, tranquil leafy surrounds   Spacious living area flowing to private covered balcony   Renovated kitchen with updated appliances   Large bathroom with internal laundry facilities   Two queen sized bedrooms, both with built-ins  Convenient location only a short stroll to ferry, CBD bus, shops and cafes  Strata levies: $1495/qtr Council rates: $402/qtr Water rates: $199/qtr"
2020863204,Mosman,2088,23 Dalton Road,2900000.0,2026-07-21,privateTreaty,Semi-Detached,3,2,1.0,-33.82142,151.242,6.07,https://www.domain.com.au/23-dalton-road-mosman-nsw-2088-2020863204,"Behind its elegant façade, this double-brick Federation home reveals an inviting family design where timeless character and thoughtful modernisation sit comfortably side by side. Peacefully positioned in a quiet cul-de-sac, it offers a private and tranquil setting while remaining close to everyday conveniences. Ornate ceilings, picture rails and hardwood floors bring elegance and personality, while the rear living zone rises beneath a cathedral ceiling and opens to a north-facing terrace designed for private alfresco dining, overlooking the garden below. The layout offers distinct living and dining areas and three generous bedrooms, including one with direct garden access, while dual street access at the rear adds further ease. Perfect location just 800 metres from Bridgepoint shopping centre and city buses, Balmoral Beach a 10 minute stroll and the vibrant heart of Mosman Village close by, creates a highly convenient home in one of the Lower North Shore's most desirable lifestyle pockets.  Features:  - Federation double-brick home with thoughtful modern updates  - Sunny north-facing entertainer's terrace and private level garden  - Light-drenched spacious living zone with cathedral ceilings - Immaculate shaker-style kitchen with marble island, gas cooking - Separate dining with gas fire and exquisite high ornate ceilings - Three bedrooms, one with window seat, two with built-in robes - Lower-level bedroom opens to garden, two stylish bathrooms - Separate retreat/study, laundry and garden shed lower level - Thoughtfully updated throughout, plantation shutters, air-con - Dual street access enhances convenience in this central setting - Close to Military Road shops, restaurants and city bus services - Short stroll to Mosman Village, Balmoral Beach, elite schools"
2020876627,Mosman,2088,3/6 Brierley Street,975000.0,2026-08-04,privateTreaty,Apartment / Unit / Flat,2,1,,-33.8331,151.23149,4.47,https://www.domain.com.au/3-6-brierley-street-mosman-nsw-2088-2020876627,"Tucked away in the boutique 'Carmel' block, this charming apartment presents an effortless blend of its original period refinement with stylish modern enhancements. Of blissful convenience, it's a stroll to Spofforth Street shops, eateries and city buses.  - Corner position in adorable secure block of four apartments - Inviting living and dining room features high ornate ceilings - Modern galley kitchen, Miele appliances and integrated laundry - Rear steps down to lovely communal garden/entertaining area - Beautiful generous bedrooms both feature built-in wardrobes - Elegantly renovated bathroom has rain shower and stone floors - Modern floorboards, picture rails and light infused ambiance - Located in quiet tree lined street, walk to Mosman Bay ferry - Central to both Mosman and Cremorne village shops and dining - Moments to Balmoral and Harbour foreshore walks"
